cite,title,year,venue,paradigm,stage,paper_role,privacy_notion,attack_or_defense,modality,threat_model,assumptions,used_in_figure2,used_in_taxonomy,notes
1,Language models are few-shot learners,2020,NeurIPS,FM,NA,dataset/model,NA,dataset/model,text,NA,case-study support reference,no,no,case-study support reference
2,An image is worth 16x16 words: Transformers for image recognition at scale,2021,ICLR,FM,NA,dataset/model,NA,dataset/model,vision,NA,case-study support reference,no,no,case-study support reference
3,Large language models encode clinical knowledge,2023,,FM,NA,dataset/model,NA,dataset/model,text,NA,case-study support reference,no,no,case-study support reference
4,Fingpt: Open-source financial large language models,2023,arXiv,FM,NA,dataset/model,NA,dataset/model,text,NA,case-study support reference,no,no,case-study support reference
5,Communication-efficient learning of deep networks from decentralized data,2017,,FL,NA,system,NA,system,NA,NA,system design creates privacy surface,no,no,
6,The future of digital health with federated learning,2020,npj Digital Medicine,FL,NA,system,NA,system,mixed,NA,system design creates privacy surface,no,no,
7,Federated learning for healthcare: Systematic review and architecture proposal,2022,ACM TIST,FL,NA,survey,multi,survey,mixed,NA,survey/reference taxonomy,no,no,survey landscape / framing
8,Federated learning: Opportunities and challenges,2021,arXiv,FL,NA,system,NA,system,mixed,NA,system design creates privacy surface,no,no,
9,Fedhealth: A federated transfer learning framework for wearable healthcare,2020,,FL,NA,system,NA,system,NA,NA,system design creates privacy surface,no,no,
10,Federated learning in medicine: facilitating multi-institutional collaborations without sharing patient data,2020,"medicine: facilitating multi-institutional collaborations without sharing patient data,"" Scientific Reports",FL,NA,system,NA,system,mixed,NA,system design creates privacy surface,no,no,
11,Fed-rd: Privacy-preserving federated learning for financial crime detection,2024,IEEE CIFEr,FL,NA,defense,multi,defense,tabular,NA,mitigation/evaluation setting,no,no,
12,Ffd: A federated learning based method for credit card fraud detection,2019,International Conference on Big Data,FL,NA,system,NA,system,tabular,NA,system design creates privacy surface,no,no,
13,Starlit: Privacy-preserving federated learning to enhance financial fraud detection,2025,FLTA,FL,NA,defense,multi,defense,tabular,NA,mitigation/evaluation setting,no,no,
14,Federated learning for medical image analysis: A survey,2024,Pattern Recognition,FL,NA,survey,multi,survey,mixed;vision,NA,survey/reference taxonomy,no,no,survey landscape / framing
15,A systematic review on federated learning in medical image analysis,2023,IEEE Access,FL,NA,survey,multi,survey,mixed;vision,NA,survey/reference taxonomy,no,no,survey landscape / framing
16,Efficient and secure federated learning for financial applications,2023,,FL,NA,system,NA,system,tabular,NA,system design creates privacy surface,no,no,
17,Federated foundation models: Privacy-preserving and collaborative learning for large models,2024,LREC-COLING 2024,FL∩FM,"U,D",system,NA,system,mixed;text,NA,cross-stage FM reuse; system design creates privacy surface,yes,yes,intersection paper
18,"Position paper: Assessing robustness, privacy, and fairness in federated learning integrated with foundation models",2025,ICCV,FL∩FM,"U,D",theory,NA,theory,mixed;text,NA,conceptual/theoretical framing,yes,yes,intersection paper
19,Federated foundation models on heterogeneous time series,2025,AAAI,FL∩FM,U,system,NA,system,time_series,NA,per-round communicated updates; system design creates privacy surface,no,yes,intersection paper
20,Time-ffm: Towards lmempowered federated foundation models for time series forecasting,2024,NeurIPS,FL∩FM,U,system,NA,system,text;time_series,NA,per-round communicated updates; system design creates privacy surface,no,yes,intersection paper
21,Fedpft: federated proxy fine-tuning of foundation models,2024,IJCAI 2024,FL∩FM,D,system,NA,system,NA,NA,reused pretrained or inherited FM; system design creates privacy surface,no,yes,intersection paper
22,Federated generative learning with foundation models,2023,arXiv,FL∩FM,U,system,NA,system,NA,NA,per-round communicated updates; system design creates privacy surface,no,yes,intersection paper
23,Extracting training data from large language models,2021,USENIX Security,FM,NA,attack,inference_time,attack,text,C,query/output access,yes,no,
24,Privacy risks of general-purpose language models,2020,IEEE S&P,FM,NA,attack,attribute,attack,text,C,representation-level signal,yes,no,
25,Deep leakage from gradients,2019,NeurIPS,FL,NA,attack,reconstruction,attack,NA,A,artifact visibility sufficient for reconstruction,yes,no,
26,Inverting gradients-how easy is it to break privacy in federated learning?,2020,NeurIPS,FL,NA,attack,reconstruction,attack,NA,A,artifact visibility sufficient for reconstruction,yes,no,
27,Do gradient inversion attacks make federated learning unsafe?,2023,IEEE TMI,FL,NA,attack,reconstruction,attack,vision,A,artifact visibility sufficient for reconstruction,yes,no,
28,Decepticons: Corrupted transformers breach privacy in federated learning for language models,2023,ICLR,FL∩FM,U,attack,reconstruction,attack,text,A,per-round communicated updates; artifact visibility sufficient for reconstruction,yes,yes,intersection paper
29,Privacy in deep learning: A survey,2022,ACM Computing Surveys,FL,NA,survey,multi,survey,mixed,NA,survey/reference taxonomy,yes,no,survey landscape / framing
30,Ten challenging problems in federated foundation models,2025,IEEE TKDE,FL∩FM,"U,D",survey,multi,survey,mixed,NA,survey/reference taxonomy,yes,yes,survey landscape / framing
31,Privacy and robustness in federated learning: Attacks and defenses,2022,IEEE TNNLS,FL,NA,survey,multi,survey,mixed,NA,survey/reference taxonomy,yes,no,survey landscape / framing
32,Rofl: Robustness of secure federated learning,2023,IEEE S&P,FL,NA,defense,multi,defense,NA,NA,mitigation/evaluation setting,no,no,
33,How to backdoor federated learning,2020,International Conference on Artificial Intelligence and Statistics,FL,NA,attack,backdoor_privacy,attack,NA,D,compromised or manipulated artifact,no,no,
34,Unveiling backdoor risks brought by foundation models in heterogeneous federated learning,2024,,FL∩FM,D,background,backdoor_privacy,neither,NA,D,background/reference paper,yes,yes,background reference
35,Peft-as-an-attack! jailbreaking language models during federated parameter-efficient fine-tuning,2024,arXiv,FL∩FM,U,attack,backdoor_privacy,attack,text,D,per-round communicated updates; compromised or manipulated artifact,yes,yes,intersection paper
36,Auditing data provenance in textgeneration models,2019,"textgeneration models,"" in KDD",FM,NA,attack,provenance,attack,text,NA,general,yes,no,
37,Emerging safety attack and defense in federated instruction tuning of large language models,2024,arXiv,FL∩FM,U,system,backdoor_privacy,system,text,D,per-round communicated updates; compromised or manipulated artifact; system design creates privacy surface,yes,yes,intersection paper
38,Advances and open problems in federated learning,2021,Foundations and Trends in Machine Learning,FL,NA,survey,multi,survey,mixed,NA,survey/reference taxonomy,no,no,survey landscape / framing
